Tinh,TenTinh,Mon,n_years,mean_first,mean_last,change,volatility_std,max_yoy_abs_change,latest_count
6,Lào Cai,SinhHoc,3,5.3321,6.1194,0.7873,0.5611,1.0863,580
58,Kiên Giang,HoaHoc,5,6.5441,5.3857,-1.1584,0.504,1.0833,2015
51,Long An,NgoaiNgu,5,6.2838,4.9593,-1.3245,0.498,1.0695,5627
62,Bạc Liêu,HoaHoc,5,6.7304,5.5751,-1.1553,0.5287,1.0623,869
5,Tuyên Quang,NgoaiNgu,5,4.173,4.9707,0.7977,0.4894,1.0549,846
25,Ninh Bình,NguVan,5,6.8216,7.0019,0.1803,0.4706,1.0435,23175
50,TP. Hồ Chí Minh,HoaHoc,5,6.6744,5.606,-1.0684,0.4751,1.0414,4630
49,Bà Rịa - Vũng Tàu,HoaHoc,5,6.631,5.6712,-0.9598,0.4721,1.0337,4848
2,Hà Giang,NgoaiNgu,5,7.229,5.7041,-1.5249,0.5651,1.0306,49066
36,Phú Yên,NguVan,5,6.076,6.1589,0.0829,0.4983,1.0243,5104
52,Tiền Giang,NguVan,5,6.6385,6.8397,0.2012,0.4048,1.0234,14096
31,Thừa Thiên Huế,HoaHoc,5,6.5707,6.0495,-0.5212,0.4107,1.0104,1795
24,Nam Định,NguVan,5,7.1458,7.0484,-0.0974,0.4338,0.9972,10176
53,Bến Tre,HoaHoc,5,6.6487,5.8515,-0.7972,0.4191,0.9801,4995
47,Bình Dương,NgoaiNgu,5,5.9672,4.9656,-1.0016,0.4062,0.9747,4427
4,Bắc Kạn,NguVan,5,5.5906,5.5976,0.007,0.4031,0.9693,13923
63,Cà Mau,HoaHoc,5,6.3575,5.3912,-0.9663,0.4621,0.9537,1860
56,Đồng Tháp,HoaHoc,5,6.8542,5.9499,-0.9043,0.4115,0.9412,3134
44,Lâm Đồng,NgoaiNgu,5,7.1064,5.7229,-1.3835,0.5248,0.9299,6479
14,Quảng Ninh,NgoaiNgu,5,4.4137,5.3119,0.8982,0.5052,0.9271,1082
23,Hà Nam,NgoaiNgu,5,4.3774,5.3859,1.0085,0.4583,0.9169,1440
42,Đắk Lắk,HoaHoc,5,6.7907,5.8227,-0.968,0.4319,0.9032,3929
27,Nghệ An,NgoaiNgu,5,6.3594,5.3836,-0.9758,0.3863,0.9,3571
57,An Giang,NgoaiNgu,5,5.9922,5.0501,-0.9421,0.3804,0.8994,2380
52,Tiền Giang,NgoaiNgu,5,6.7356,5.3661,-1.3695,0.5076,0.8978,6699
42,Đắk Lắk,NgoaiNgu,5,6.1993,5.1863,-1.013,0.3934,0.8977,5047
51,Long An,HoaHoc,5,6.8089,5.9252,-0.8837,0.3968,0.892,4707
47,Bình Dương,HoaHoc,5,6.6855,5.8061,-0.8794,0.4017,0.8915,2493
29,Quảng Bình,HoaHoc,5,6.6548,6.3083,-0.3465,0.3567,0.8888,8470
28,Hà Tĩnh,HoaHoc,5,6.6595,5.9955,-0.664,0.3502,0.8787,8444
23,Hà Nam,NguVan,5,6.0171,6.3726,0.3555,0.4044,0.8687,10530
54,Trà Vinh,HoaHoc,5,6.305,5.5436,-0.7614,0.3755,0.8647,2978
57,An Giang,HoaHoc,5,6.8852,6.029,-0.8562,0.391,0.8637,2611
32,Đà Nẵng,NguVan,5,5.7422,7.1453,1.4031,0.6257,0.8504,8848
10,Yên Bái,NgoaiNgu,5,4.9328,5.4822,0.5494,0.4308,0.8474,1507
46,Tây Ninh,HoaHoc,5,6.4869,5.6357,-0.8512,0.3855,0.8459,2682
43,Đắk Nông,HoaHoc,5,6.3559,5.7565,-0.5994,0.3429,0.8444,3034
44,Lâm Đồng,HoaHoc,5,7.0496,6.2945,-0.7551,0.3702,0.8423,5374
25,Ninh Bình,NgoaiNgu,5,6.4555,5.3553,-1.1002,0.4077,0.842,7125
13,Lạng Sơn,HoaHoc,5,6.7047,6.1931,-0.5116,0.3816,0.8387,953
25,Ninh Bình,HoaHoc,5,7.175,6.4504,-0.7246,0.3676,0.8341,9080
59,Cần Thơ,HoaHoc,5,6.2926,5.457,-0.8356,0.3932,0.8309,1987
